Nombre Máquina,Falla
Máquina de corte,Desgaste o desafilado de cuchillas
Máquina de corte,Fugas de aceite
Máquina de corte,Desgaste en almohadillas
Máquina de corte,Desalineación de moldes o guías
Máquina de montado,Fallas en el sistema de presión
Máquina de montado,Desgaste en piezas móviles
Máquina de montado,Problemas eléctricos 
Máquina de montado,Fugas de aceite
Máquina de montado,Fallas en las almohadillas
Máquina de montar talones,Fugas en el sistema neumático
Máquina de montar talones,Desgaste de almohadillas
Máquina de pespunte,Torsión de agujas
Máquina de pespunte,Desgaste de bandas
Compresor de tornillo,Sobrecalentamiento
Compresor de tornillo,Fugas de aire
Compresor de tornillo,Baja presión
Máquina de embarrar plantilla,Resistencias
Máquina de embarrar plantilla,Lubricación
Máquina de embarrar plantilla,Ruidos extraños en el motor
Máquina horno de secado,Calentamiento inestable
Máquina horno de secado,Acumulación de residuos
Máquina de ensuelar cordón,Cordones reventados
Máquina horno de rodillos,Rodillos atascados
Máquina horno de rodillos,Temperatura excesiva
Máquina horno de rodillos,Desgaste del recubrimiento térmico de los rodillos
Máquina de ensuelar hidráulica,Fugas de aceite
Máquina de ensuelar hidráulica,Pérdida de presión 
Máquina de ensuelar hidráulica,Desgaste en los sellos o mordazas
